evt_block_number,evt_index,evt_block_time,floor_price_eth
12930798,76,2021-07-31T02:57:02+00:00,27.5597536760450588
12930863,10,2021-07-31T03:11:22+00:00,27.4908353741524675
12930923,71,2021-07-31T03:24:19+00:00,28.0497485216500047
12931165,58,2021-07-31T04:21:04+00:00,27.7910979618299386
12931170,47,2021-07-31T04:22:29+00:00,27.0542054598753431
12931195,18,2021-07-31T04:28:21+00:00,27.1779204875512312
12931309,37,2021-07-31T04:54:43+00:00,28.8121837501574608
12931315,23,2021-07-31T04:55:57+00:00,29.9814795854666815
12931316,6,2021-07-31T04:56:04+00:00,30.4796655248182618
12931316,25,2021-07-31T04:56:04+00:00,30.2757336513075067
12931316,79,2021-07-31T04:56:04+00:00,29.1624081148590511
12931325,17,2021-07-31T04:58:27+00:00,29.5538861451476174
12931342,64,2021-07-31T05:00:27+00:00,31.1734144044985407
12931343,230,2021-07-31T05:00:35+00:00,31.2653749434730055
12931343,248,2021-07-31T05:00:35+00:00,31.2888572106335692
12931353,136,2021-07-31T05:02:40+00:00,31.1963824238093129
12931365,38,2021-07-31T05:05:15+00:00,32.2589593899154248
12931367,9,2021-07-31T05:05:29+00:00,32.0953178226582752
12931371,18,2021-07-31T05:07:06+00:00,30.2977973012862427
12931377,18,2021-07-31T05:08:31+00:00,29.0941901727065279
12931470,61,2021-07-31T05:27:29+00:00,28.2679991129420875
12931498,165,2021-07-31T05:35:12+00:00,27.7063717542875934
12931578,51,2021-07-31T05:54:18+00:00,27.0380211566200331
12931668,8,2021-07-31T06:10:30+00:00,26.9250640685851134
12931695,78,2021-07-31T06:19:26+00:00,27.5223416634748821
12931712,16,2021-07-31T06:22:01+00:00,27.6785400442652055
12931823,139,2021-07-31T06:46:01+00:00,27.5056666261886922
12931870,33,2021-07-31T06:56:34+00:00,27.1685106166002646
12932182,71,2021-07-31T08:13:29+00:00,26.6889406537636001
12932280,224,2021-07-31T08:32:01+00:00,26.8698356988477246
12932665,14,2021-07-31T10:00:45+00:00,26.7633155328323688
12932699,33,2021-07-31T10:11:19+00:00,26.4638863203537977
12932860,3,2021-07-31T10:45:55+00:00,27.1502075837513021
12932860,15,2021-07-31T10:45:55+00:00,28.2434172034814794
12932860,21,2021-07-31T10:45:55+00:00,27.7393475586635827
12932861,9,2021-07-31T10:46:07+00:00,26.7915477896024401
12932956,199,2021-07-31T11:04:06+00:00,26.8608405225385121
13014090,85,2021-08-13T02:24:09+00:00,44.5567216757768406
13014090,97,2021-08-13T02:24:09+00:00,44.5675213875104740
12933479,27,2021-07-31T13:05:30+00:00,26.4524057648150712
12933581,38,2021-07-31T13:28:28+00:00,25.7614668663997417
12933801,309,2021-07-31T14:16:21+00:00,25.2432355669330491
12933802,277,2021-07-31T14:16:45+00:00,25.1989765333747677
12933817,178,2021-07-31T14:19:31+00:00,25.5944421601148142
12933871,191,2021-07-31T14:33:14+00:00,25.6603694470318093
12934134,11,2021-07-31T15:31:38+00:00,25.9473109213253728
12934192,284,2021-07-31T15:42:29+00:00,26.4653884421234822
12934256,11,2021-07-31T15:57:21+00:00,27.1465199302581244
12934551,155,2021-07-31T17:02:55+00:00,27.8063049598704307
12935085,295,2021-07-31T19:06:23+00:00,28.4400661908185321
12935119,312,2021-07-31T19:14:30+00:00,28.6880157476026764
12935390,19,2021-07-31T20:25:10+00:00,29.3509228735342870
12935674,162,2021-07-31T21:26:18+00:00,30.2832204074160185
12935700,46,2021-07-31T21:31:14+00:00,30.2732526314358377
12936133,9,2021-07-31T23:16:18+00:00,32.1072329462476766
12936105,202,2021-07-31T23:08:55+00:00,31.2038620951962062
12936106,189,2021-07-31T23:09:05+00:00,31.9994463454736280
12936124,216,2021-07-31T23:14:36+00:00,32.4909793206492661
12936132,3,2021-07-31T23:16:13+00:00,33.0968724612274961
12936153,119,2021-07-31T23:20:24+00:00,31.6705284332261166
12936182,139,2021-07-31T23:27:29+00:00,32.6038587501058898
13015763,384,2021-08-13T08:32:58+00:00,44.0663479089709816
12936256,59,2021-07-31T23:43:02+00:00,32.4005412469474715
12936256,64,2021-07-31T23:43:02+00:00,32.3084379965123064
12936258,27,2021-07-31T23:43:11+00:00,32.7584130982348984
12936263,115,2021-07-31T23:44:13+00:00,31.6891466027946158
12936304,107,2021-07-31T23:52:38+00:00,31.1061575784545323
12936332,175,2021-07-31T23:58:12+00:00,30.8089076339050833
12936376,21,2021-08-01T00:08:16+00:00,30.1912133834539554
12936441,147,2021-08-01T00:21:11+00:00,29.6326950440729898
12936443,328,2021-08-01T00:21:31+00:00,29.5074204913661952
12936483,318,2021-08-01T00:31:03+00:00,29.7964604727463050
12936626,9,2021-08-01T01:03:29+00:00,30.2610751789159446
13014454,420,2021-08-13T03:45:50+00:00,44.0883401237381319
12936802,64,2021-08-01T01:43:16+00:00,31.2321670832834342
12936847,149,2021-08-01T01:54:35+00:00,32.0539386411737828
12936932,142,2021-08-01T02:13:50+00:00,33.1009576337313862
12936920,7,2021-08-01T02:10:08+00:00,32.3241428287611677
12936927,242,2021-08-01T02:12:28+00:00,32.8216632644569761
12937041,9,2021-08-01T02:37:25+00:00,32.4660793485890804
12937154,142,2021-08-01T03:01:11+00:00,31.6474019172918662
12937259,55,2021-08-01T03:22:37+00:00,31.0878429719674027
12937296,185,2021-08-01T03:34:40+00:00,31.8407485892761978
12937296,194,2021-08-01T03:34:40+00:00,32.0680794526218847
12937299,287,2021-08-01T03:37:04+00:00,31.5579449621806661
12937478,11,2021-08-01T04:17:49+00:00,32.1337148213365093
12937655,290,2021-08-01T04:57:33+00:00,32.7749859811063454
12937647,140,2021-08-01T04:55:54+00:00,32.7093282793878251
