,alpha=0.01,alpha=0.025,alpha=0.05,alpha=0.075,alpha=0.1
t=1436400,6.6131525566899185,2.440741431841711,1.4246915086549081,1.0866874050515207,0.9021291869653225
t=1440000,6.639893615746251,2.4482612137380086,1.4285741722993528,1.0895061176525545,0.9044047486864759
t=1443600,6.666708481923892,2.4557921883451024,1.43246055083713,1.0923269233336335,0.9066817166079846
t=1447200,6.693597340471693,2.4633343747175966,1.4363506505509047,1.095149826007355,0.9089600936506601
t=1450800,6.720560377020123,2.4708877919133405,1.4402444777134025,1.0979748295763399,0.9112398827261139
t=1454400,6.747597777582193,2.4784524589935755,1.4441420385875308,1.1008019379333382,0.9135210867368433
t=1458000,6.774709728554753,2.4860283950231636,1.448043339426507,1.1036311549613331,0.9158037085763222
t=1461600,6.801896416719288,2.4936156190707397,1.4519483864739842,1.1064624845336395,0.9180877511290881
t=1465200,6.829158029243063,2.5012141502089187,1.4558571859641702,1.1092959305140084,0.9203732172708299
t=1468800,6.856494753680201,2.5088240075144648,1.459769744121957,1.1121314967567262,0.9226601098684735
t=1472400,6.883906777972692,2.516445210068455,1.4636860671630272,1.1149691871067104,0.9249484317802656
t=1476000,6.91139429045141,2.5240777769565077,1.4676061612939852,1.1178090053996104,0.9272381858558596
t=1479600,6.938957479837216,2.5317217272688888,1.47153003271247,1.1206509554619029,0.9295293749363984
t=1483200,6.966596535241969,2.5393770801007425,1.4754576876072707,1.123495041110984,0.9318220018545949
t=1486800,6.994311646169472,2.547043854552234,1.4793891321584436,1.1263412661552703,0.9341160694348158
t=1490400,7.022103002516772,2.5547220697287436,1.4833243725374223,1.129189634394287,0.9364115804931596
t=1494000,7.0499707945749055,2.5624117447409973,1.4872634149071362,1.132040149618763,0.9387085378375393
t=1497600,7.077915213030144,2.5701128987052853,1.4912062654221168,1.1348928156107196,0.9410069442677578
t=1501200,7.1059364489648225,2.577825550743589,1.4951529302286097,1.1377476361435641,0.9433068025755882
t=1504800,7.134034693858705,2.5855497199837636,1.4991034154646838,1.1406046149821756,0.9456081155448506
t=1508400,7.162210139589694,2.5932854255596887,1.50305772726034,1.1434637558829994,0.9479108859514869
t=1512000,7.190462978435024,2.6010326866114504,1.5070158717376154,1.1463250625941255,0.9502151165636374
t=1515600,7.218793403072304,2.6087915222854807,1.5109778550106912,1.1491885388553857,0.9525208101417157
t=1519200,7.247201606580498,2.6165619517347283,1.5149436831859968,1.1520541883984299,0.9548279694384825
t=1522800,7.275687782441004,2.624343994118819,1.518913362362317,1.1549220149468176,0.957136597199117
t=1526400,7.304252124538671,2.6321376686041877,1.5228868986308814,1.157792022216098,0.9594466961612917
t=1530000,7.332894827162837,2.6399429943642785,1.5268642980754845,1.1606642139138952,0.9617582690552426
t=1533600,7.361616085008398,2.647759990579651,1.5308455667725704,1.1635385937399896,0.9640713186038397
t=1537200,7.390416093176688,2.655588676438157,1.5348307107913413,1.1664151653863981,0.9663858475226583
t=1540800,7.419295047176822,2.6634290711350737,1.53881973619385,1.1692939325374576,0.9687018585200466
t=1544400,7.448253142926454,2.6712811938732877,1.5428126490351035,1.1721748988699008,0.9710193542971965
t=1548000,7.477290576752804,2.679145063863404,1.54680945536315,1.1750580680529361,0.9733383375482094
t=1551600,7.5064075453940085,2.6870207003239095,1.5508101612191867,1.1779434437483296,0.9756588109601649
t=1555200,7.535604245999711,2.694908122481333,1.554814772637641,1.1808310296104776,0.9779807772131865
t=1558800,7.564880876132509,2.7028073495703566,1.5588232956462718,1.1837208292864827,0.9803042389805074
t=1562400,7.594237633768678,2.7107184008339753,1.562835736266261,1.1866128464162324,0.9826291989285358
t=1566000,7.623674717299394,2.7186412955236614,1.5668521005123033,1.1895070846324747,0.9849556597169196
t=1569600,7.653192325531704,2.7265760528994494,1.570872394392699,1.192403547560887,0.9872836239986114
t=1573200,7.682790657689447,2.734522692230148,1.574896623909439,1.195302238820156,0.9896130944199268
t=1576800,7.712469913414598,2.7424812327934007,1.5789247950583007,1.1982031620220432,0.9919440736206151
t=1580400,7.742230292767946,2.750451693875896,1.5829569138289288,1.2011063207714634,0.9942765642339122
t=1584000,7.772071996230361,2.758434094773438,1.586992986204927,1.2040117186665529,0.9966105688866091
t=1587600,7.8019952247037185,2.7664284547911366,1.5910330181639418,1.2069193592987375,0.9989460901991076
t=1591200,7.832000179512008,2.7744347932434956,1.5950770156777496,1.2098292462528066,1.0012831307854841
t=1594800,7.862087062402301,2.782453129454593,1.5991249847123399,1.2127413831069802,1.0036216932535464
t=1598400,7.892256075545813,2.7904834827581477,1.603176931228,1.2156557734329763,1.0059617802048924
t=1602000,7.922507421539015,2.798525872497717,1.6072328611793947,1.2185724207960806,1.0083033942349715
t=1605600,7.952841303404419,2.8065803180267954,1.6112927805156523,1.2214913287552114,1.0106465379331375
t=1609200,7.983257924592017,2.8146468387089203,1.615356695180445,1.224412500862988,1.0129912138827106
t=1612800,8.01375748897998,2.822725453917855,1.6194246111120663,1.2273359406657929,1.0153374246610296
t=1616400,8.04434020087574,2.8308161830376544,1.6234965342435146,1.2302616517038416,1.0176851728395109
t=1620000,8.075006265017164,2.8389190454628306,1.6275724705025696,1.2331896375112432,1.020034460983703
t=1623600,8.105755886573583,2.847034060598478,1.631652425811871,1.2361199016160644,1.0223852916533396
t=1627200,8.136589271146663,2.855161247860357,1.6357364060889972,1.239052447540396,1.0247376674023974
t=1630800,8.167506624771596,2.863300626675064,1.6398244172465373,1.2419872788004098,1.027091590779146
t=1634400,8.19850815391805,2.871452216480123,1.6439164651921767,1.2449243989064263,1.0294470643262046
t=1638000,8.229594065491296,2.8796160367241153,1.6480125558287577,1.2478638113629712,1.0318040905805912
t=1641600,8.260764566833167,2.887792106866805,1.6521126950543703,1.2508055196688397,1.0341626720737795
t=1645200,8.292019865723141,2.8959804463792382,1.6562168887624122,1.2537495273171526,1.036522811331746
t=1648800,8.32336017037935,2.9041810747438968,1.660325142841669,1.2566958377954198,1.0388845108750226
t=1652400,8.354785689459655,2.9123940114547664,1.6644374631763856,1.2596444545855978,1.0412477732187497
t=1656000,8.386296632062681,2.9206192760174865,1.668553855646338,1.2625953811641475,1.0436126008727218
t=1659600,8.417893207728843,2.9288568879494714,1.6726743261269021,1.265548621002091,1.0459789963414425
t=1663200,8.44957562644135,2.9371068667800007,1.6767988804891267,1.2685041775650712,1.0483469621241697
t=1666800,8.481344098627375,2.945369232050324,1.6809275245998005,1.2714620543134076,1.0507165007149655
t=1670400,8.513198835158954,2.953644003313821,1.6850602643215251,1.2744222547021513,1.0530876146027461
t=1674000,8.545140047354147,2.9619312001360605,1.6891971055127786,1.2773847821811417,1.055460306271327
t=1677600,8.577167946977909,2.9702308420949604,1.6933380540279872,1.280349640195063,1.057834578199473
t=1681200,8.609282746243426,2.9785429487808432,1.6974831157175907,1.2833168321834956,1.0602104328609419
t=1684800,8.64148465781288,2.986867539796593,1.7016322964281092,1.286286361580971,1.062587872724535
t=1688400,8.673773894798616,2.995204634757732,1.7057856020022077,1.2892582318170298,1.0649669002541393
t=1692000,8.706150670764218,3.0035542532925614,1.7099430382787646,1.2922324463162647,1.0673475179087761
t=1695600,8.738615199725485,3.011916415042225,1.7141046110929334,1.2952090084983867,1.0697297281426454
t=1699200,8.771167696151531,3.0202911396608556,1.7182703262762091,1.2981879217782635,1.0721135334051675
t=1702800,8.803808374965813,3.0286784468156487,1.722440189656489,1.3011691895659827,1.0744989361410338
t=1706400,8.836537451547208,3.0370783561869956,1.7266142070581383,1.3041528152668924,1.0768859387902432
t=1710000,8.869355141730944,3.045490887468566,1.7307923843020512,1.3071388022816608,1.079274543788153
t=1713600,8.902261661809916,3.0539160603674196,1.7349747272057132,1.3101271540063215,1.0816647535655144
t=1717200,8.935257228535471,3.0623538946041187,1.739161241583262,1.3131178738323235,1.084056570548523
t=1720800,8.968342059118571,3.070804409912806,1.743351933245548,1.3161109651465797,1.0864499971588542
t=1724400,9.001516371230856,3.079267626041326,1.7475468080001932,1.3191064313315217,1.0888450358137103
t=1728000,9.034780383005703,3.087743562751312,1.7517458716516603,1.3221042757651382,1.0912416889258578
t=1731600,9.068134313039225,3.096232239818298,1.7559491300012917,1.325104501821032,1.0936399589036725
t=1735200,9.101578380391405,3.104733677031814,1.7601565888473907,1.328107112868461,1.0960398481511775
t=1738800,9.135112804587136,3.113247894195478,1.7643682539852636,1.3311121122723883,1.098441359068084
t=1742400,9.168737805617129,3.1217749111271154,1.7685841312072883,1.3341195033935307,1.1008444940498325
t=1746000,9.202453603939315,3.1303147476588107,1.7728042263029602,1.3371292895883982,1.1032492554876319
t=1749600,9.236260420479555,3.1388674236370564,1.7770285450589562,1.3401414742093474,1.1056556457684965
t=1753200,9.270158476632892,3.1474329589228045,1.7812570932591925,1.343156060604621,1.1080636672752902
