,alpha=0.05
t=453600,0.02549304544147655
t=457200,0.025406495138029273
t=460800,0.025320624012122463
t=464400,0.025235422150828603
t=468000,0.025150879858440046
t=471600,0.025066987650113573
t=475200,0.024983736245748147
t=478800,0.02490111656408365
t=482400,0.024819119717012863
t=486000,0.024737737004096573
t=489600,0.024656959907272902
t=493200,0.024576780085752894
t=496800,0.02449718937109574
t=500400,0.024418179762452676
t=504000,0.02433974342197728
t=507600,0.024261872670391062
t=511200,0.024184559982700693
t=514800,0.024107797984059466
t=518400,0.024031579445767115
t=522000,0.02395589728140346
t=525600,0.02388074454308936
t=529200,0.02380611441787033
t=532800,0.023732000224218976
t=536400,0.023658395408649516
t=540000,0.023585293542441987
t=543600,0.023512688318471166
t=547200,0.023440573548136046
t=550800,0.023368943158386103
t=554400,0.023297791188840934
t=558000,0.023227111788999767
t=561600,0.023156899215537066
t=565200,0.023087147829681177
t=568800,0.0230178520946739
t=572400,0.022949006573306008
t=576000,0.022880605925528343
t=579600,0.02281264490613353
t=583200,0.022745118362507755
t=586800,0.022678021232448466
t=590400,0.022611348542046484
t=594000,0.02254509540363049
t=597600,0.022479257013770827
t=601200,0.022413828651341484
t=604800,0.02234880567563735
t=608400,0.022284183524545656
t=612000,0.022219957712769512
t=615600,0.022156123830100974
t=619200,0.022092677539743255
t=622800,0.022029614576679648
t=626400,0.021966930746087666
t=630000,0.021904621921796777
t=633600,0.021842684044789132
t=637200,0.021781113121740373
t=640800,0.02171990522360079
t=644400,0.02165905648421436
t=648000,0.021598563098975065
t=651600,0.02153842132351912
t=655200,0.02147862747245143
t=658800,0.021419177918106925
t=662400,0.021360069089342605
t=666000,0.021301297470362992
t=669600,0.021242859599574948
t=673200,0.021184752068472625
t=676800,0.0211269715205505
t=680400,0.02106951465024537
t=684000,0.02101237820190366
t=687600,0.020955558968776468
t=691200,0.020899053792038904
t=694800,0.020842859559834503
t=698400,0.020786973206342832
t=702000,0.020731391710871405
t=705600,0.02067611209696839
t=709200,0.020621131431558793
t=712800,0.020566446824100394
t=716400,0.020512055425761067
t=720000,0.02045795442861538
t=723600,0.020404141064860982
t=727200,0.02035061260605381
t=730800,0.020297366362360982
t=734400,0.020244399681831827
t=738000,0.02019170994968633
t=741600,0.020139294587619552
t=745200,0.020087151053123177
t=748800,0.02003527683882216
t=752400,0.019983669471827028
t=756000,0.019932326513101353
t=759600,0.01988124555684323
t=763200,0.019830424229881096
t=766800,0.0197798601910835
t=770400,0.01972955113078182
t=774000,0.01967949477020632
t=777600,0.01962968886093467
t=781200,0.019580131184352735
t=784800,0.019530819551127666
t=788400,0.01948175180069204
t=792000,0.01943292580074002
t=795600,0.019384339446733935
t=799200,0.019335990661422234
t=802800,0.019287877394367405
t=806400,0.019239997621484286
t=810000,0.019192349344588522
t=813600,0.01914493059095438
t=817200,0.01909773941288182
t=820800,0.0190507738872736
t=824400,0.019004032115220504
t=828000,0.01895751222159561
t=831600,0.018911212354656926
t=835200,0.018865130685658815
t=838800,0.01881926540847062
t=842400,0.01877361473920415
t=846000,0.018728176915848195
t=849600,0.018682950197910577
t=853200,0.018637932866068053
t=856800,0.01859312322182267
t=860400,0.01854851958716547
t=864000,0.01850412030424702
t=867600,0.018459923735054295
t=871200,0.018415928261094394
t=874800,0.018372132283084052
t=878400,0.018328534220645922
t=882000,0.018285132512010527
t=885600,0.01824192561372382
t=889200,0.01819891200036149
t=892800,0.018156090164247286
t=896400,0.018113458615178334
t=900000,0.018071015880154917
t=903600,0.018028760503115738
t=907200,0.017986691044678184
t=910800,0.017944806081883702
t=914400,0.01790310420794784
t=918000,0.0178615840320154
t=921600,0.017820244178919697
t=925200,0.01777908328894683
t=928800,0.017738100017604144
t=932400,0.01769729303539309
t=936000,0.017656661027586385
t=939600,0.017616202694009233
t=943200,0.017575916748824427
t=946800,0.017535801920321947
t=950400,0.017495856950711732
t=954000,0.017456080595920822
t=957600,0.01741647162539387
t=961200,0.017377028821897424
t=964800,0.01733775098132765
t=968400,0.017298636912521582
t=972000,0.017259685437071893
t=975600,0.017220895389144574
t=979200,0.017182265615300518
t=982800,0.017143794974319504
t=986400,0.017105482337028056
t=990000,0.017067326586129573
t=993600,0.017029326616038377
t=997200,0.016991481332715552
t=1000800,0.016953789653508734
t=1004400,0.016916250506993857
t=1008000,0.016878862832820276
t=1011600,0.01684162558155791
t=1015200,0.016804537714547697
t=1018800,0.01676759820375413
