time,low,high,open,close,volume
2022-01-14 06:00:00,3301.13,3309.84,3306.84,3301.78,346.69510372
2022-01-14 06:05:00,3300.01,3303.91,3301.78,3300.44,198.5505224
2022-01-14 06:10:00,3298.03,3304.53,3300.68,3303.2,169.30113243
2022-01-14 06:15:00,3302.53,3312.94,3303.21,3307.85,318.12994323
2022-01-14 06:20:00,3304.62,3312.39,3307.84,3305.47,327.67337697
2022-01-14 06:25:00,3302.81,3311.17,3305.53,3308.41,261.68738216
2022-01-14 06:30:00,3308.04,3314.0,3308.42,3309.52,310.46345215
2022-01-14 06:35:00,3303.67,3309.51,3309.5,3304.44,252.39414654
2022-01-14 06:40:00,3301.44,3306.62,3304.07,3303.26,206.23872887
2022-01-14 06:45:00,3298.41,3304.17,3303.26,3300.35,187.52034446
2022-01-14 06:50:00,3295.97,3301.05,3300.34,3296.74,226.8985166
2022-01-14 06:55:00,3293.21,3301.32,3296.77,3293.65,291.30444742
2022-01-14 07:00:00,3287.23,3295.53,3293.67,3291.72,579.81163769
2022-01-14 07:05:00,3291.34,3296.32,3291.71,3295.9,186.28354195
2022-01-14 07:10:00,3290.17,3296.07,3296.0,3290.96,202.1769398
2022-01-14 07:15:00,3289.69,3296.07,3291.0,3293.42,256.4425387
2022-01-14 07:20:00,3291.34,3296.39,3293.12,3294.54,110.12597787
2022-01-14 07:25:00,3291.09,3296.61,3295.06,3292.99,138.52157623
2022-01-14 07:30:00,3284.19,3293.77,3292.8,3284.26,257.3302324
2022-01-14 07:35:00,3274.24,3286.3,3284.1,3275.17,384.00504457
2022-01-14 07:40:00,3268.26,3278.05,3275.7,3271.93,263.56590031
2022-01-14 07:45:00,3268.15,3275.64,3272.2,3274.77,264.14665672
2022-01-14 07:50:00,3266.68,3275.39,3274.68,3270.58,217.81674641
2022-01-14 07:55:00,3265.0,3272.04,3270.58,3269.84,199.98124066
2022-01-14 08:00:00,3257.64,3271.3,3269.76,3258.7,470.36028047
2022-01-14 08:05:00,3248.36,3259.29,3258.69,3253.27,556.37270906
2022-01-14 08:10:00,3242.93,3253.84,3252.85,3249.17,388.58226726
2022-01-14 08:15:00,3241.37,3252.01,3249.22,3252.0,343.86052202
2022-01-14 08:20:00,3250.43,3256.61,3251.7,3256.13,161.31005349
2022-01-14 08:25:00,3251.57,3257.71,3256.14,3252.95,111.26073248
2022-01-14 08:30:00,3243.38,3253.17,3253.12,3251.27,217.43376834
2022-01-14 08:35:00,3250.52,3254.11,3251.27,3253.04,188.28835712
2022-01-14 08:40:00,3247.78,3254.25,3253.05,3252.0,177.78403613
2022-01-14 08:45:00,3248.0,3259.29,3251.69,3257.12,192.76761864
2022-01-14 08:50:00,3252.56,3260.63,3257.13,3256.13,97.14731098
2022-01-14 08:55:00,3252.68,3259.14,3255.54,3258.65,183.12233668
2022-01-14 09:00:00,3252.76,3262.54,3258.58,3262.5,95.76498885
2022-01-14 09:05:00,3261.95,3264.48,3262.53,3263.18,116.57197711
2022-01-14 09:10:00,3262.19,3266.22,3263.28,3264.31,117.39829399
2022-01-14 09:15:00,3262.16,3266.63,3264.42,3262.46,77.30198906
2022-01-14 09:20:00,3261.0,3265.58,3262.45,3262.86,61.7988571
2022-01-14 09:25:00,3258.79,3265.59,3262.9,3262.1,120.87697164
2022-01-14 09:30:00,3260.63,3269.95,3261.78,3267.71,149.20960416
2022-01-14 09:35:00,3266.92,3270.11,3267.38,3269.87,234.35807415
2022-01-14 09:40:00,3265.63,3269.87,3269.86,3266.37,113.44805108
2022-01-14 09:45:00,3262.63,3273.08,3265.75,3272.07,313.93643879
2022-01-14 09:50:00,3268.16,3276.25,3272.13,3268.52,111.38334406
2022-01-14 09:55:00,3262.41,3268.9,3268.84,3264.13,97.08847707
2022-01-14 10:00:00,3258.78,3266.58,3264.23,3259.22,119.34720865
2022-01-14 10:05:00,3256.79,3268.27,3258.99,3268.27,107.06278449
2022-01-14 10:10:00,3265.5,3270.27,3268.0,3266.95,106.22123562
2022-01-14 10:15:00,3255.19,3266.4,3266.4,3257.61,152.26498708
2022-01-14 10:20:00,3251.56,3258.52,3257.6,3252.2,152.89904028
2022-01-14 10:25:00,3250.6,3255.15,3252.11,3250.86,64.63475597
2022-01-14 10:30:00,3248.04,3255.54,3251.27,3255.15,88.70699629
2022-01-14 10:35:00,3253.66,3258.95,3255.14,3258.62,152.85663203
2022-01-14 10:40:00,3257.44,3263.59,3258.42,3257.67,233.35096937
2022-01-14 10:45:00,3253.5,3260.31,3257.67,3255.7,172.05435997
2022-01-14 10:50:00,3229.74,3258.08,3255.63,3234.31,662.67064031
2022-01-14 10:55:00,3216.45,3236.58,3234.31,3226.01,981.10142351
2022-01-14 11:00:00,3213.31,3226.83,3226.03,3217.21,733.60582185
2022-01-14 11:05:00,3205.26,3222.2,3216.72,3214.26,760.64768917
2022-01-14 11:10:00,3210.87,3222.55,3213.98,3219.83,856.25908764
2022-01-14 11:15:00,3206.88,3222.61,3219.84,3207.6,386.39246762
2022-01-14 11:20:00,3204.65,3212.36,3207.49,3208.68,469.93743691
2022-01-14 11:25:00,3205.0,3215.44,3209.43,3207.08,248.69244218
2022-01-14 11:30:00,3200.0,3208.44,3206.73,3206.83,1349.08773196
2022-01-14 11:35:00,3200.32,3212.62,3206.95,3202.57,287.08527815
2022-01-14 11:40:00,3198.18,3207.67,3202.56,3200.33,1437.71192774
2022-01-14 11:45:00,3197.39,3207.69,3200.35,3206.3,348.41466032
2022-01-14 11:50:00,3201.2,3212.43,3206.3,3210.64,281.79365539
2022-01-14 11:55:00,3201.31,3212.69,3210.64,3203.11,180.41811728
