,alpha=0.01,alpha=0.025,alpha=0.05,alpha=0.075,alpha=0.1
t=1000800,inf,6.072179873657412e+234,2.2108363947617626e+117,5.832726994415826e+77,4.913515185105217e+57
t=1004400,inf,4.217154100517986e+235,5.826414189334128e+117,1.108894320149292e+78,7.915455888683661e+57
t=1008000,inf,2.92876203642578e+236,1.5354710064122427e+118,2.1081723877587286e+78,1.2751403760610517e+58
t=1011600,inf,2.033941749717693e+237,4.046480188203547e+118,4.007924611080073e+78,2.0541800240580372e+58
t=1015200,inf,1.4124815410198858e+238,1.0663720780184489e+119,7.619569546503092e+78,3.309157598738817e+58
t=1018800,inf,9.808823786708212e+238,2.81018994654431e+119,1.4485677438229266e+79,5.330830220227231e+58
t=1022400,inf,6.811472408849713e+239,7.405564460996424e+119,2.753877840811625e+79,8.58757825075313e+58
t=1026000,inf,4.729933382749455e+240,1.9515345884123804e+120,5.23537783429847e+79,1.3833912534008808e+59
t=1029600,inf,3.284422623760806e+241,5.142685317825539e+120,9.9528828994316e+79,2.228526540706732e+59
t=1033200,inf,2.280620740288406e+242,1.3551871489202052e+121,1.892113889085658e+80,3.589955526319308e+59
t=1036800,inf,1.583569624557725e+243,3.571118327290636e+121,3.5970226821103946e+80,5.783074724743986e+59
t=1040400,inf,1.0995407998990092e+244,9.41033021786406e+121,6.838118321838058e+80,9.315947292019676e+59
t=1044000,inf,7.634413223824148e+244,2.4797115139834318e+122,1.299952808894227e+81,1.5006994724249947e+60
t=1047600,inf,5.300662327723547e+245,6.534210793949073e+122,2.4712467517212375e+81,2.4174579617054214e+60
t=1051200,inf,3.680228722537486e+246,1.7217925519638373e+123,4.697882970640262e+81,3.8942392556295585e+60
t=1054800,inf,2.5551106461835048e+247,4.536952429845747e+123,8.930707021147043e+81,6.27313789203886e+60
t=1058400,inf,1.7739234526463908e+248,1.1954828712217199e+124,1.6977239095969422e+82,1.0105214738981422e+61
t=1062000,inf,1.2315451424710546e+249,3.1500557222616803e+124,3.227348544051013e+82,1.627813979717984e+61
t=1065600,inf,8.549803331809545e+249,8.300206073133798e+124,6.135108769931745e+82,2.6221801185691164e+61
t=1069200,inf,5.935431213083242e+250,2.187032760200694e+125,1.166262367394282e+83,4.2239502157514664e+61
t=1072800,inf,4.1203947210682094e+251,5.76258694744961e+125,2.2170110857443793e+83,6.804145481532066e+61
t=1076400,inf,2.8603277194906856e+252,1.5183625980136694e+126,4.2144128989676167e+83,1.0960413148435337e+62
t=1080000,inf,1.9855609671501633e+253,4.0006385970152295e+126,8.011317126654315e+83,1.7655450288278286e+62
t=1083600,inf,1.3782917275787197e+254,1.0540931118381626e+127,1.5228895121225584e+84,2.8439975360386434e+62
t=1087200,inf,9.567304467681906e+254,2.777310751774345e+127,2.8948796083389195e+84,4.5811887138917345e+62
t=1090800,inf,6.640925294604398e+255,7.317552291761773e+127,5.502882825401313e+84,7.379479017037943e+62
t=1094400,inf,4.6095462833384935e+256,1.9279824070135007e+128,1.0460385218349342e+85,1.1886986809813977e+63
t=1098000,inf,3.199472500470126e+257,5.079678020637595e+128,1.9883954184636784e+85,1.914769154405545e+63
t=1101600,inf,2.220696617070345e+258,1.3383361333005579e+129,3.779684062751104e+85,3.0843214386010725e+63
t=1105200,inf,1.5413127051418576e+259,3.526063550581053e+129,7.184655071129287e+85,4.968226822889487e+63
t=1108800,inf,1.0697517221790125e+260,9.289899035818093e+129,1.3656959821906986e+86,8.002796530810905e+63
t=1112400,inf,7.424478760754577e+260,2.4475286982262025e+130,2.595970981842247e+86,1.289082513524495e+64
t=1116000,inf,5.152757606313122e+261,6.448230371013868e+130,4.9345020734655595e+86,2.0764345467320832e+64
t=1119600,inf,3.576055544548128e+262,1.6988274240266439e+131,9.379604923741968e+86,3.344678401416647e+64
t=1123200,inf,2.4817591233693384e+263,4.475627780849228e+131,1.78288557574349e+87,5.387522305868568e+64
t=1126800,inf,1.7222883204984604e+264,1.1791108915193133e+132,3.38891065632925e+87,8.678054976822637e+64
t=1130400,inf,1.1952065740843415e+265,3.106356859950686e+132,6.441611039096059e+87,1.3978298736163758e+65
t=1134000,inf,8.294133217487114e+265,8.183593701943259e+132,1.2244092804436021e+88,2.251566858633003e+65
t=1137600,inf,5.755591802366713e+266,2.1559208035995352e+133,2.3273219862228945e+88,3.626719697149346e+65
t=1141200,inf,3.9939253051143523e+267,5.679597905354905e+133,4.423683871304847e+88,5.841733660909912e+65
t=1144800,inf,2.771410730919046e+268,1.4962302581325226e+134,8.408324296297934e+88,9.409534446645306e+65
