,alpha=0.01,alpha=0.025,alpha=0.05,alpha=0.075,alpha=0.1
n=1555200,0.0006586504400276463,0.00026346907108302755,0.0001309191700115922,8.628240964106473e-05,6.36572117817626e-05
n=1641600,0.0006585087608204655,0.00026340874927368874,0.0001308861367231272,8.625856588165471e-05,6.363802595252868e-05
n=1728000,0.0006583743774480063,0.0002633515337631486,0.00013085480449876157,8.623594996739746e-05,6.361982810623083e-05
n=1814400,0.0006582465763866185,0.00026329712075921004,0.0001308250069765213,8.621444181654929e-05,6.360252161935466e-05
n=1900800,0.0006581247438689729,0.0002632452489422588,0.00013079660105316893,8.619393813575593e-05,6.358602337712704e-05
n=1987200,0.0006580083481181557,0.00026319569190119154,0.00013076946274198452,8.617434943015787e-05,6.357026136770333e-05
n=2073600,0.000657896925368161,0.0002631482521814547,0.00013074348391336614,8.615559765072207e-05,6.355517278909881e-05
n=2160000,0.0006577900687419505,0.00026310275654973077,0.0001307185697016886,8.613761432248755e-05,6.354070254308475e-05
n=2246400,0.0006576874193136505,0.00026305905218854835,0.00013069463642140512,8.612033904038585e-05,6.352680202485404e-05
n=2332800,0.0006575886588596177,0.0002630170036099536,0.00013067160987691832,8.610371824928999e-05,6.351342814138985e-05
n=2419200,0.0006574935039293674,0.00026297649013112763,0.00013064942398018466,8.608770424618579e-05,6.350054250856572e-05
n=2505600,0.0006574017009581155,0.00026293740379348653,0.00013062801961117635,8.607225435764376e-05,6.348811078929899e-05
n=2592000,0.0006573130222088011,0.00026289964763494364,0.00013060734367174173,8.605733025688471e-05,6.347610214403002e-05
n=2678400,0.0006572272623802059,0.0002628631342457712,0.0001305873482947696,8.604289739294663e-05,6.346448877140256e-05
n=2764800,0.0006571442357541418,0.000262827784553977,0.00013056799017904021,8.602892451057466e-05,6.34532455219432e-05
n=2851200,0.0006570637737820642,0.0002627935267977737,0.00013054923002653099,8.601538324406087e-05,6.344234957124712e-05
n=2937600,0.0006569857230323213,0.0002627602956515918,0.0001305310320638061,8.600224777178041e-05,6.343178014199954e-05
n=3024000,0.0006569099434352473,0.000262728031478906,0.00013051336363285063,8.598949452084968e-05,6.342151826633123e-05
n=3110400,0.0006568363067757074,0.000262696679690415,0.00013049619483959874,8.597710191343203e-05,6.341154658168251e-05
n=3196800,0.0006567646953923714,0.00026266619019024045,0.00013047949825066246,8.596505014783239e-05,6.340184915466253e-05
n=3283200,0.0006566950010506093,0.000262636516896047,0.00013046324863054095,8.595332100881265e-05,6.339241132841952e-05
n=3369600,0.000656627123961918,0.00026260761732155053,0.00013044742271299436,8.594189770256733e-05,6.338321958985434e-05
n=3456000,0.0006565609719276044,0.0002625794522119298,0.0001304319990013891,8.593076471261033e-05,6.337426145366012e-05
n=3542400,0.0006564964595882977,0.00026255198522429557,0.00013041695759371695,8.59199076734722e-05,6.336552536069313e-05
n=3628800,0.0006564335077639699,0.00026252518264669654,0.00013040228002871788,8.590931325963006e-05,6.335700058860026e-05
n=3715200,0.0006563720428716846,0.0002624990131502176,0.00013038794915012442,8.589896908751783e-05,6.334867717297188e-05
n=3801600,0.000656311996410335,0.00026247344756960013,0.00013037394898652576,8.58888636288104e-05,6.334054583756651e-05
n=3888000,0.0006562533045033343,0.0002624484587085367,0.00013036026464474342,8.587898613346236e-05,6.333259793238315e-05
n=3974400,0.0006561959074916092,0.00026242402116638205,0.00013034688221493542,8.586932656120999e-05,6.332482537854544e-05
n=4060800,0.0006561397495703993,0.0002624001111835167,0.00013033378868591435,8.585987552044711e-05,6.331722061911813e-05
n=4147200,0.0006560847784643247,0.00026237670650300105,0.00013032097186938685,8.585062421354176e-05,6.330977657510538e-05
n=4233600,0.0006560309451359849,0.00026235378624650887,0.00013030842033201256,8.584156438779356e-05,6.330248660599009e-05
n=4320000,0.0006559782035240166,0.0002623313308028014,0.00013029612333433075,8.583268829135216e-05,6.329534447426252e-05
n=4406400,0.0006559265103071141,0.0002623093217272558,0.00013028407077574016,8.5823988633502e-05,6.328834431346425e-05
n=4492800,0.0006558758246909791,0.00026228774165115595,0.000130272253144825,8.581545854880779e-05,6.328148059933757e-05
n=4579200,0.0006558261082155799,0.0002622665741996315,0.00013026066147441687,8.580709156467694e-05,6.327474812372525e-05
n=4665600,0.0006557773245804419,0.00026224580391727165,0.00013024928730085995,8.579888157195797e-05,6.326814197091149e-05
n=4752000,0.0006557294394859775,0.0002622254162005705,0.00013023812262701618,8.579082279823623e-05,6.32616574961355e-05
n=4838400,0.0006556824204891272,0.00026220539723646323,0.00013022715988860738,8.57829097835398e-05,6.32552903060427e-05
n=4924800,0.0006556362368717852,0.00026218573394630717,0.0001302163919235378,8.577513735819593e-05,6.324903624086715e-05
n=5011200,0.0006555908595206759,0.0002621664139347375,0.00013020581194388655,8.576750062261524e-05,6.324289135816492e-05
n=5097600,0.0006555462608175082,0.0002621474254428989,0.0001301954135102969,8.575999492880539e-05,6.323685191793895e-05
n=5184000,0.0006555024145383668,0.00026212875730561035,0.00013018519050851833,8.575261586343864e-05,6.323091436901494e-05
