_start,_stop,_time,_value,_field,_measurement,id,influx-sushi,type
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T10:00:00Z,1.20E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T11:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T12:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T13:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T14:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T15:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T16:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T17:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T18:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T19:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T20:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T21:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T22:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-15T23:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-16T00:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-16T01:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-16T02:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-16T03:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-16T04:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-16T05:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-16T06:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-16T07:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-16T08:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-16T09:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-16T10:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-16T11:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-16T12:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-16T13:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-16T14:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
2021-05-13T17:14:37.000493904Z,2021-06-12T17:14:37.000493904Z,2021-05-16T15:00:00Z,1.21E+43,price1Cumulative,mem,Sushiswap: UNI / WETH,ingest-data-frame,metrics-hourly
