,timestamp,tick,secondsPerLiquidity,initialized
209,1625438853,-415513015681,53015567033290648457986,True
210,1625438773,-415506799681,53015542532927151269369,True
211,1625438108,-415455119206,53015345550258253152599,True
212,1625437861,-415435923107,53015272385266948137799,True
213,1625435860,-415280383376,53014679659973015608992,True
214,1625435658,-415264682522,53014619824635996932921,True
215,1625435035,-415216258601,53014457238343628708574,True
216,1625435018,-415214937344,53014452801799535193624,True
217,1625434842,-415201259328,53014406870519508215318,True
218,1625434814,-415199083448,53014399563270413014224,True
219,1625434666,-415187583552,53014360939239481237012,True
220,1625434643,-415185796544,53014354758452209031277,True
221,1625434319,-415160627576,53014267689970635350483,True
222,1625434295,-415158763328,53014261240453481744499,True
223,1625434049,-415139662412,53014195132902657283156,True
224,1625434009,-415136556772,53014184383707401273182,True
225,1625432071,-414986104018,53013663581554906326746,True
226,1625430700,-414879669175,53013295140337227635557,True
227,1625429654,-414798465057,53013013952954091171264,True
228,1625424523,-414400063431,53011634639025637575581,True
229,1625424491,-414397578759,53011626041250059203638,True
230,1625424463,-414395404643,53011618518196428128188,True
231,1625424305,-414383136417,53011575659535528125428,True
232,1625422539,-414245981793,53011096619059898980655,True
233,1625421265,-414147035309,53010751037199224274856,True
234,1625421024,-414128321659,53010685664178484397229,True
235,1625420852,-414114966891,53010639007914719837263,True
236,1625420532,-414090122091,53010552204950745180561,True
237,1625418409,-413925307232,53009976321536625817501,True
238,1625418143,-413904654194,53009904167082199230576,True
239,1625417673,-413868161984,53009776670338982060466,True
240,1625417673,-413868161984,53009776670338982060466,True
241,1625417596,-413862183473,53009755747790279691181,True
242,1625417341,-413842384508,53009686324814335521754,True
243,1625417269,-413836794212,53009666769112392367714,True
244,1625417262,-413836250704,53009664867863592338849,True
245,1625417245,-413834930416,53009660250545077983034,True
246,1625415783,-413721359332,53009263161152843382930,True
247,1625415730,-413717242186,53009248726248282504229,True
248,1625415576,-413705279158,53009206900205183769918,True
249,1625415355,-413688119171,53009146877117360261588,True
250,1625415256,-413680437959,53009119988756740482255,True
251,1625414406,-413614510259,53008910096124688666544,True
252,1625414341,-413609471979,53008891938863431533280,True
253,1625414188,-413597613714,53008849199463857050365,True
254,1625413963,-413580175089,53008786347385637474401,True
255,1625410974,-413348542534,53007951392444311640806,True
256,1625410640,-413322663546,53007858092025976803596,True
257,1625410113,-413281834748,53007710878491658063448,True
258,1625406846,-413028727190,53006798294502637121332,True
259,1625403551,-412773450360,53005789681425104352329,True
260,1625403476,-412767639810,53005766704255766697931,True
261,1625403452,-412765780362,53005759351561578648524,True
262,1625403411,-412762603764,53005746790709007397453,True
263,1625403373,-412759659068,53005735148943209652558,True
264,1625403304,-412754310947,53005714009947419010512,True
265,1625403298,-412753845791,53005712401787163436240,True
266,1625401386,-412605604607,53005199934719053768091,True
267,1625401221,-412592811662,53005155710312025475600,True
268,1625400992,-412575056147,53005094332195604390869,True
269,1625400819,-412561641554,53005047963574901999348,True
270,1625400725,-412554351666,53005022769064231335747,True
271,1625400550,-412540780066,53004975866113952396893,True
272,1625399578,-412465391746,53004715353727260233656,True
273,1625399568,-412464616006,53004712673558672865722,True
274,1625399444,-412455002658,53004679439468189503334,True
275,1625399051,-412424534547,53004574101732164918247,True
276,1625398552,-412385848574,53004440065328934012628,True
277,1625397875,-412333362795,53004258194636552070290,True
278,1625397334,-412291412573,53004112859267898258170,True
279,1625396410,-412219763765,53003864804360910113278,True
280,1625396410,-412219763765,53003864804360910113278,True
281,1625396386,-412217902949,53003858361376313018606,True
282,1625396325,-412213173375,53003841993702155121480,True
283,1625396123,-412197512517,53003787792551665035913,True
284,1625396087,-412194722157,53003776749594527422976,True
285,1625395880,-412178678001,53003713252590986148585,True
286,1625395747,-412168369969,53003672454999338856344,True
287,1625395302,-412133881134,53003535951779165585310,True
288,1625395166,-412123340726,53003496956214200237711,True
289,1625394888,-412101794892,53003411680045193115582,True
290,1625394881,-412101252469,53003409532803527468622,True
291,1625394830,-412097300530,53003393888587676891377,True
292,1625393936,-412028028046,53003119654686296184363,True
293,1625393635,-412004704760,53003012312287357282596,True
294,1625393364,-411983706054,53002915667971137723788,True
295,1625392918,-411949147298,53002756611258001098142,True
296,1625392668,-411929775798,53002667453907531728540,True
297,1625391501,-411839364807,53002251267395540711234,True
298,1625390489,-411760953023,53001890358440840703082,True
299,1625390483,-411760488071,53001888218664429438212,True
300,1625390333,-411748863521,53001834724254147816451,True
301,1625389963,-411720189631,53001703681447546806857,True
302,1625387269,-411511334587,53000884931285048926923,True
303,1625387261,-411510714259,53000882499955687389047,True
304,1625387212,-411506913966,53000867608063347969554,True
305,1625387193,-411505440250,53000861833656114317098,True
306,1625387151,-411502182226,53000849069176966243247,True
